PEAK_NUM,FRACHRSTART,FRAC_HRS_SINCE_JAN1,CH4,WKT,LON,LAT,CH4_BASELINE,PEAK_DIST_M,PEAK_CH4
CFADS2280_20131126_7906.075916,7906.075916,7906.079317,2.1623479131,POINT(-105.02591933 39.657391598),-105.02591933,39.657391598,2.12604613204,0.257108936751,0.0230733709539
CFADS2280_20131126_7906.075916,7906.075916,7906.079477,2.1573290192,POINT(-105.02591933 39.657391667),-105.02591933,39.657391667,2.12604613204,0.264790010091,0.0233136571045
CFADS2280_20131126_7906.075916,7906.075916,7906.07963,2.1437078428,POINT(-105.02591933 39.657391667),-105.02591933,39.657391667,2.12604613204,0.264790010091,0.0233136571045
CFADS2280_20131126_7906.476206,7906.476206,7906.476206,2.4797830639,POINT(-105.03338142 39.647431596),-105.03338142,39.647431596,2.22912294446,0.0,0.0
CFADS2280_20131126_7906.476206,7906.476206,7906.476344,2.6610746827,POINT(-105.03338134 39.647381233),-105.03338134,39.647381233,2.23098570139,5.60640831717,2.41125444192
CFADS2280_20131126_7906.476206,7906.476206,7906.476485,2.6124405252,POINT(-105.03338118 39.647331685),-105.03338118,39.647331685,2.23367915186,11.1221037723,4.50038682739
CFADS2280_20131126_7906.476206,7906.476206,7906.476623,2.3729235983,POINT(-105.03338102 39.647283408),-105.03338102,39.647283408,2.23616821361,16.4963120831,5.23533875235
CFADS2280_20131126_7906.712971,7906.712971,7906.712971,2.2158639085,POINT(-105.03276 39.652565856),-105.03276,39.652565856,2.08327493138,0.0,0.0
CFADS2280_20131126_7906.712971,7906.712971,7906.713105,2.4060937371,POINT(-105.03276 39.652565833),-105.03276,39.652565833,2.08482186862,0.00256035830733,0.000822571097371
CFADS2280_20131126_7906.712971,7906.712971,7906.713241,2.5327431641,POINT(-105.03276 39.652565833),-105.03276,39.652565833,2.08723649593,0.00256035830733,0.000822571097371
CFADS2280_20131126_7906.712971,7906.712971,7906.713378,2.5490213783,POINT(-105.03276 39.652565778),-105.03276,39.652565778,2.09022771901,0.00868295212746,0.00363157832043
CFADS2280_20131126_7906.712971,7906.712971,7906.713514,2.4960542847,POINT(-105.03276 39.652565696),-105.03276,39.652565696,2.09328641862,0.0178111838918,0.00730813674918
CFADS2280_20131126_7906.712971,7906.712971,7906.713652,2.4511138165,POINT(-105.03276 39.652565667),-105.03276,39.652565667,2.09610016086,0.0210394616543,0.0084542194391
CFADS2280_20131126_7906.712971,7906.712971,7906.713789,2.4463282785,POINT(-105.03276 39.652565667),-105.03276,39.652565667,2.09870502441,0.0210394616543,0.0084542194391
CFADS2280_20131126_7906.712971,7906.712971,7906.713925,2.4547595285,POINT(-105.03275995 39.652565616),-105.03275995,39.652565616,2.1012933023,0.028152596963,0.0109684725331
CFADS2280_20131126_7906.712971,7906.712971,7906.714059,2.4299810484,POINT(-105.03275987 39.652565536),-105.03275987,39.652565536,2.10392308567,0.039391966318,0.0146331584074
